valid_datetime,load_power_kW,pv_power_kW
2020-12-06 00:30:00+00:00,3.2,0.0
2020-12-06 00:45:00+00:00,3.6,0.0
2020-12-06 01:00:00+00:00,4.0,0.0
2020-12-06 01:15:00+00:00,3.2,0.0
2020-12-06 01:30:00+00:00,3.6,0.0
2020-12-06 01:45:00+00:00,3.6,0.0
2020-12-06 02:00:00+00:00,3.2,0.0
2020-12-06 02:15:00+00:00,3.6,0.0
2020-12-06 02:30:00+00:00,3.2,0.0
2020-12-06 02:45:00+00:00,2.8,0.0
2020-12-06 03:00:00+00:00,3.6,0.0
2020-12-06 03:15:00+00:00,2.8,0.0
2020-12-06 03:30:00+00:00,3.2,0.0
2020-12-06 03:45:00+00:00,4.4,0.0
2020-12-06 04:00:00+00:00,3.2,0.0
2020-12-06 04:15:00+00:00,3.6,0.0
2020-12-06 04:30:00+00:00,3.2,0.0
2020-12-06 04:45:00+00:00,3.2,0.0
2020-12-06 05:00:00+00:00,4.0,0.0
2020-12-06 05:15:00+00:00,3.6,0.0
2020-12-06 05:30:00+00:00,2.8,0.0
2020-12-06 05:45:00+00:00,4.0,0.0
2020-12-06 06:00:00+00:00,4.4,0.0
2020-12-06 06:15:00+00:00,3.6,0.025
2020-12-06 06:30:00+00:00,3.6,0.08
2020-12-06 06:45:00+00:00,3.6,0.103
2020-12-06 07:00:00+00:00,4.0,0.056
2020-12-07 00:00:00+00:00,4.0,0.0
2020-12-07 00:15:00+00:00,4.0,0.0
2020-12-07 00:30:00+00:00,3.2,0.0
2020-12-07 00:45:00+00:00,4.4,0.0
2020-12-07 01:00:00+00:00,2.8,0.0
2020-12-07 01:15:00+00:00,4.8,0.0
2020-12-07 01:30:00+00:00,4.4,0.0
2020-12-07 01:45:00+00:00,4.8,0.0
2020-12-07 02:00:00+00:00,4.4,0.0
2020-12-07 02:15:00+00:00,4.8,0.0
2020-12-07 02:30:00+00:00,4.4,0.0
2020-12-07 02:45:00+00:00,3.6,0.0
2020-12-07 03:00:00+00:00,4.8,0.0
2020-12-07 03:15:00+00:00,4.4,0.0
2020-12-07 03:30:00+00:00,4.4,0.0
2020-12-07 03:45:00+00:00,4.8,0.0
2020-12-07 04:00:00+00:00,3.6,0.0
2020-12-07 04:15:00+00:00,4.0,0.0
2020-12-07 04:30:00+00:00,5.2,0.0
2020-12-07 04:45:00+00:00,4.4,0.0
2020-12-07 05:00:00+00:00,4.4,0.0
2020-12-07 05:15:00+00:00,4.4,0.0
2020-12-07 05:30:00+00:00,3.6,0.0
2020-12-07 05:45:00+00:00,4.8,0.03
2020-12-07 06:00:00+00:00,4.0,0.189
2020-12-07 06:15:00+00:00,4.8,0.198
2020-12-07 06:30:00+00:00,4.0,0.184
2020-12-07 06:45:00+00:00,4.0,0.133
2020-12-07 07:00:00+00:00,4.4,0.215
2020-12-07 07:15:00+00:00,4.8,0.077
2020-12-07 07:30:00+00:00,3.2,0.027
2020-12-07 07:45:00+00:00,4.4,0.0
2020-12-07 08:00:00+00:00,4.4,0.0
2020-12-07 08:15:00+00:00,4.0,0.0
2020-12-07 08:30:00+00:00,4.4,0.0
2020-12-07 08:45:00+00:00,5.6,0.0
2020-12-07 09:00:00+00:00,4.8,0.0
2020-12-07 09:15:00+00:00,5.6,0.0
2020-12-07 09:30:00+00:00,5.2,0.0
2020-12-07 09:45:00+00:00,5.2,0.0
2020-12-07 10:00:00+00:00,6.0,0.0
2020-12-07 10:15:00+00:00,5.2,0.0
2020-12-07 10:30:00+00:00,5.6,0.063
2020-12-07 10:45:00+00:00,8.0,0.091
2020-12-07 11:00:00+00:00,7.2,0.16
2020-12-07 11:15:00+00:00,7.6,0.175
2020-12-07 11:30:00+00:00,6.8,0.068
2020-12-07 11:45:00+00:00,6.8,0.185
2020-12-07 12:00:00+00:00,6.8,0.155
2020-12-07 12:15:00+00:00,7.6,0.275
2020-12-07 12:30:00+00:00,7.2,0.258
2020-12-07 12:45:00+00:00,7.2,6.475
2020-12-07 13:00:00+00:00,6.0,2.025
2020-12-07 13:15:00+00:00,6.4,2.173
2020-12-07 13:30:00+00:00,5.6,1.296
2020-12-07 13:45:00+00:00,6.8,0.723
2020-12-07 14:00:00+00:00,6.4,0.158
2020-12-07 14:15:00+00:00,5.6,0.334
2020-12-07 14:30:00+00:00,6.4,0.0
2020-12-07 14:45:00+00:00,6.4,0.0
2020-12-07 15:00:00+00:00,4.4,0.0
2020-12-07 15:15:00+00:00,5.6,0.0
2020-12-07 15:30:00+00:00,6.4,0.0
2020-12-07 15:45:00+00:00,5.6,0.0
2020-12-07 16:00:00+00:00,5.2,0.0
2020-12-07 16:15:00+00:00,2.8,0.0
2020-12-07 16:30:00+00:00,4.4,0.0
2020-12-07 16:45:00+00:00,3.2,0.0
2020-12-07 17:00:00+00:00,2.8,0.0
2020-12-07 17:15:00+00:00,4.4,0.0
2020-12-07 17:30:00+00:00,5.2,0.0
2020-12-07 17:45:00+00:00,4.4,0.0
2020-12-07 18:00:00+00:00,4.4,0.0
2020-12-07 18:15:00+00:00,4.8,0.0
2020-12-07 18:30:00+00:00,4.4,0.0
2020-12-07 18:45:00+00:00,4.8,0.0
2020-12-07 19:00:00+00:00,4.4,0.0
2020-12-07 19:15:00+00:00,5.2,0.0
2020-12-07 19:30:00+00:00,4.4,0.0
2020-12-07 19:45:00+00:00,4.4,0.0
2020-12-07 20:00:00+00:00,4.8,0.0
2020-12-07 20:15:00+00:00,4.0,0.0
2020-12-07 20:30:00+00:00,4.4,0.0
2020-12-07 20:45:00+00:00,4.8,0.0
2020-12-07 21:00:00+00:00,4.8,0.0
2020-12-07 21:15:00+00:00,4.4,0.0
2020-12-07 21:30:00+00:00,4.4,0.0
2020-12-07 21:45:00+00:00,4.4,0.0
2020-12-07 22:00:00+00:00,4.8,0.0
2020-12-07 22:15:00+00:00,4.4,0.0
2020-12-07 22:30:00+00:00,4.4,0.0
2020-12-07 22:45:00+00:00,4.8,0.0
2020-12-07 23:00:00+00:00,4.4,0.0
2020-12-07 23:15:00+00:00,4.4,0.0
2020-12-07 23:30:00+00:00,4.8,0.0
2020-12-07 23:45:00+00:00,5.2,0.0
2020-12-08 00:00:00+00:00,4.4,0.0
2020-12-08 00:15:00+00:00,4.4,0.0
2020-12-08 00:30:00+00:00,4.4,0.0
2020-12-08 00:45:00+00:00,5.2,0.0
2020-12-08 01:00:00+00:00,4.8,0.0
2020-12-08 01:15:00+00:00,4.4,0.0
2020-12-08 01:30:00+00:00,4.4,0.0
2020-12-08 01:45:00+00:00,4.4,0.0
2020-12-08 02:00:00+00:00,5.2,0.0
2020-12-08 02:15:00+00:00,4.8,0.0
2020-12-08 02:30:00+00:00,4.4,0.0
2020-12-08 02:45:00+00:00,4.4,0.0
2020-12-08 03:00:00+00:00,5.2,0.0
2020-12-08 03:15:00+00:00,4.4,0.0
2020-12-08 03:30:00+00:00,4.4,0.0
2020-12-08 03:45:00+00:00,4.8,0.0
2020-12-08 04:00:00+00:00,4.8,0.0
2020-12-08 04:15:00+00:00,4.8,0.0
2020-12-08 04:30:00+00:00,4.4,0.0
2020-12-08 04:45:00+00:00,4.4,0.0
2020-12-08 05:00:00+00:00,4.4,0.0
2020-12-08 05:15:00+00:00,5.2,0.0
2020-12-08 05:30:00+00:00,4.4,0.0
2020-12-08 05:45:00+00:00,4.4,0.0
2020-12-08 06:00:00+00:00,4.8,0.042
2020-12-08 06:15:00+00:00,5.2,0.141
2020-12-08 06:30:00+00:00,4.4,0.118
2020-12-08 06:45:00+00:00,4.8,0.45
2020-12-08 07:00:00+00:00,4.8,0.89
2020-12-09 09:45:00+00:00,7.6,1.205
2020-12-09 10:00:00+00:00,7.6,1.003
2020-12-09 10:15:00+00:00,7.6,1.188
2020-12-09 10:30:00+00:00,8.4,1.245
2020-12-09 10:45:00+00:00,7.6,2.554
2020-12-09 11:00:00+00:00,7.6,1.193
2020-12-09 11:15:00+00:00,7.6,2.559
2020-12-09 11:30:00+00:00,7.2,1.603
2020-12-09 11:45:00+00:00,7.6,1.067
2020-12-09 12:00:00+00:00,7.2,0.622
2020-12-09 12:15:00+00:00,7.2,1.128
2020-12-09 12:30:00+00:00,7.2,0.641
2020-12-09 12:45:00+00:00,7.6,0.501
2020-12-09 13:00:00+00:00,7.2,0.882
2020-12-09 13:15:00+00:00,6.8,0.616
2020-12-09 13:30:00+00:00,7.2,0.203
2020-12-09 13:45:00+00:00,7.6,0.239
2020-12-09 14:00:00+00:00,7.2,0.073
2020-12-09 14:15:00+00:00,7.2,0.0
2020-12-09 14:30:00+00:00,7.2,0.0
2020-12-09 14:45:00+00:00,6.8,0.0
2020-12-09 15:15:00+00:00,5.6,0.0
2020-12-09 15:30:00+00:00,5.6,0.0
2020-12-09 15:45:00+00:00,5.2,0.0
2020-12-09 16:00:00+00:00,5.6,0.0
2020-12-09 16:15:00+00:00,4.8,0.0
2020-12-09 16:30:00+00:00,5.2,0.0
2020-12-09 16:45:00+00:00,4.8,0.0
2020-12-09 17:00:00+00:00,5.6,0.0
2020-12-09 17:15:00+00:00,4.8,0.0
2020-12-09 17:30:00+00:00,5.2,0.0
2020-12-09 17:45:00+00:00,5.6,0.0
2020-12-09 18:00:00+00:00,5.2,0.0
2020-12-09 18:15:00+00:00,5.2,0.0
2020-12-09 18:30:00+00:00,6.0,0.0
2020-12-09 18:45:00+00:00,4.8,0.0
2020-12-09 19:00:00+00:00,5.2,0.0
